Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud
Bankinter ,Goya 47 3.b,"Goya 47,",Madrid,España,-34.6347617,-58.4854511

Bankinter ,El Algabeño 164 Chalet P,"El Algabeno 164,",Madrid,España,40.4572242,-3.6276797

Bankinter ,Serrano 226 Dpdo Bajo Dcha,"Serrano 226,",Madrid,España,-33.4475345224,-70.6486550796

Bankinter ,Juan de Mariana 4 1.a,"Juan de Mariana 4,",Madrid,España,-31.3866231,-64.1201027

Bankinter ,Avenida Cardenal Herrera Oria 173 10.c,"Avenida del Cardenal Herrera Oria, 173",Madrid,España,43.4576093,-3.8467211

Bankinter ,Gran Via 71 2.planta,Gran Via 71,Madrid,España,15.6116124,-87.9464974

Bankinter ,Avenida General Peron 32 24M,"Avenida General Peron 32,",Madrid,España,-32.2484526,-63.9740604

Bankinter ,Jose Donoso 8 1. D,Jose Donoso 8,Madrid,España,-2.9031869,-78.9839358

Bankinter ,Hermosilla 89 3. Ext Dcha,Hermosilla 89,Madrid,España,42.6575969,-3.4350129

Bankinter ,Capitan Haya 51 14 E,"Capitan Haya 51,",Madrid,España,41.6596522,-4.78018

Bankinter ,Nuñez de Balboa 4 1.e,"Calle Nunez de Balboa 4,",Madrid,España,43.5385864,-5.7028561

Bankinter ,Alberto Aguilera 32 1 Puerta E,"Alberto Aguilera 32,",Madrid,España,40.4303519,-3.7140294

Bankinter ,Maria de Molina 10 1.dcha,"Maria de Molina 10,",Madrid,España,40.0386694,-6.0892124

Bankinter ,Paseo de Las delicias 90 1.a,"Paseo de Las delicias 90,",Madrid,España,-25.3262464,-57.6225802

Bankinter ,Paseo de La Castellana 102 2D,"Paseo de La Castellana 102,",Madrid,España,40.4358824,-3.6893211

Bankinter ,Avenida Mediterraneo 38 3.b,"Avenida Mediterraneo 38,",Madrid,España,36.8237326,-2.4448076

Bankinter ,Ferraz 43 2. Int Izda,"Ferraz 43,",Madrid,España,45.9973211,5.9303675

Bankinter ,Jose Ortega Y Gasset 60 5.izda,"Jose Ortega Y Gasset 60,",Madrid,España,-2.9171042,-79.0103528

Bankinter ,Nanclares de Oca 18 Piso 6 At 2,"Nanclares de Oca 18,",Madrid,España,42.8166489,-2.81064181267

Bankinter ,Ibiza N.56 7.d,"Ibiza 56,",Madrid,España,52.0523653,4.5398684

Bankinter ,Antonio Machado 17 7.a,"Antonio Machado 17,",Madrid,España,42.8590857,-2.6971681

Bankinter ,Arturo Soria 348 1. Portal L,"Arturo Soria 348,",Madrid,España,40.4420021,-3.6409447

Bankinter ,Humera 54 2.d,"Humera 54,",Madrid,España,40.3124872,-3.9090332

Bankinter ,Alcala N. 114 Sotano B,"Calle de Alcala 114,",Madrid,España,33.0700362,-117.0483249

Bankinter ,Furelos,"Furelos, 3",Madrid,España,42.9106767,-7.9990656

Bankinter ,Florencio Castillo 36 3.a,"Florencio Castillo 36,",Madrid,España,40.4607055,-3.6288798

Bankinter ,General Fanjul 2B Oficina6 4,"General Fanjul 2,",Madrid,España,40.3862403,-3.7605769

Bankinter ,General Alvarez de Castro 14 Local,"Calle del General Alvarez de Castro 14,",Madrid,España,41.3872229,2.1774827

Bankinter ,Jaen N.2 1.b,"Calle de Jaen 2,",Madrid,España,41.6310081,-0.8902798

Bankinter ,Camino de Valderribas 16 4 C,"Camino de Valderribas 16,",Madrid,España,40.3982429,-3.6690608

Bankinter ,Santiago Bernabeu N. 8,"Santiago Bernabeu 8,",Madrid,España,40.4519957,-3.6905766

Bankinter ,Canal de Suez N. 66,"Canal de Suez 66,",Madrid,España,40.4729957,-3.5796449

Bankinter ,Panama 10,"Panama 10,",Madrid,España,-25.4062573,-54.6264725

